Label	Latitude	Longitude	Count
Western Swiss (66)	46.5	7	66
Eastern Swiss (241)	47	8	241
German (217)	51	10	217
Italian (75)	44	11	75
Indian (44)	22	77	44
Austrian (41)	48	15	41
French (33)	47	3	33
Chinese (33)	35	110	33
Polish (25)	52	21	25
Spanish (24)	40	-3	24
British (23)	52	-1	23
Dutch (22)	52	5	22
Greek (19)	39	23	19
American (15)	40	-99	15
Portuguese (12)	40	-8	12
Turkish (11)	39	31	11
Iranian (9)	34	53	9
Malaysian (9)	4	102	9
Canadian (9)	56	-102	9
Russian (9)	60	50	9
Taiwanese (7)	24	121	7
Croatian (7)	46	17	7
Czech (6)	50	15	6
South African (5)	-27	25	5
Swedish (5)	60	17	5
Ukrainian (5)	50	29	5
Mexican (5)	22	-101	5
Luxembourger (5)	50	6	5
Brazilian (4)	-20	-55	4
Bulgarian (4)	43	25	4
Colombian (4)	4	-73	4
Argentine (4)	-32	-62	4
Peruvian (4)	-11	-75	4
Thai (3)	15	102	3
Serbian (3)	44	21	3
Lithunian (3)	55	24	3
Slovenian (3)	46	14	3
Israeli (3)	32	35	3
Cypriot (3)	35	33	3
Slovakian (3)	49	20	3
Cameroonian (3)	5	12	3
Irish (3)	52	-8	3
Japanese (2)	37	138	2
Egyptian (2)	28	30	2
Nepalese (2)	28	85	2
Finnish (2)	61	26	2
Belgian (2)	51	5	2
Ethiopian (2)	9	39	2
Hungarian (2)	47	19	2
Armenian (2)	41	45	2
Vietnamese (2)	15	108	2
Icelander (2)	65	-20	2
Venezuelan (2)	8	-67	2
Pakistani (2)	30	70	2
Uruguayan (1)	-32	-56	1
Australian (1)	-28	135	1
Latvian (1)	57	25	1
Kazakhstani (1)	47	66	1
Indonesian (1)	0	115	1
Turkmen (1)	39	60	1
Albanian (1)	42	20	1
Belarusian (1)	54	27	1
Montenegrin (1)	43	19	1
Jordanian (1)	31	37	1
Chilean (1)	-35	-71	1
Sri Lankan (1)	7	81	1
Romanian (1)	46	25	1
Ghanaian (1)	8	-1	1
Norwegian (1)	63	11	1
Liechtensteiner (1)	47	10	1
Georgian (1)	42	43	1
Costa Rican (1)	10	-84	1
Algerian (1)	30	2	1
Moroccan (1)	31	-6	1
Puerto Rican	18	-67	1
